dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
cirrhosis;random-forest;random-forest;160;0.956;0.04;0.875;0.058
cirrhosis;random-forest;random-forest;170;0.952;0.047;0.871;0.066
cirrhosis;random-forest;random-forest;180;0.947;0.047;0.867;0.058
cirrhosis;random-forest;random-forest;190;0.951;0.041;0.875;0.067
cirrhosis;random-forest;random-forest;200;0.956;0.039;0.858;0.053
cirrhosis;random-forest;mrmr;10;0.931;0.03;0.845;0.046
cirrhosis;random-forest;mrmr;20;0.94;0.043;0.879;0.051
cirrhosis;random-forest;mrmr;30;0.944;0.038;0.884;0.05
cirrhosis;random-forest;mrmr;40;0.956;0.042;0.866;0.067
cirrhosis;random-forest;mrmr;50;0.951;0.04;0.871;0.059
cirrhosis;random-forest;mrmr;60;0.949;0.036;0.862;0.065
cirrhosis;random-forest;mrmr;70;0.948;0.041;0.862;0.062
cirrhosis;random-forest;mrmr;80;0.948;0.043;0.867;0.058
cirrhosis;random-forest;mrmr;90;0.952;0.04;0.862;0.062
cirrhosis;random-forest;mrmr;100;0.961;0.04;0.871;0.063
cirrhosis;random-forest;mrmr;110;0.959;0.037;0.88;0.062
cirrhosis;random-forest;mrmr;120;0.957;0.037;0.862;0.056
cirrhosis;random-forest;mrmr;130;0.955;0.037;0.858;0.053
cirrhosis;random-forest;mrmr;140;0.956;0.038;0.867;0.061
cirrhosis;random-forest;mrmr;150;0.958;0.04;0.858;0.06
cirrhosis;random-forest;mrmr;160;0.956;0.046;0.867;0.054
cirrhosis;random-forest;mrmr;170;0.957;0.034;0.866;0.054
cirrhosis;random-forest;mrmr;180;0.96;0.035;0.871;0.063
cirrhosis;random-forest;mrmr;190;0.959;0.039;0.88;0.062
cirrhosis;random-forest;mrmr;200;0.953;0.041;0.867;0.058
cirrhosis;random-forest;mutual-info;10;0.93;0.05;0.849;0.047
cirrhosis;random-forest;mutual-info;20;0.94;0.051;0.867;0.064
cirrhosis;random-forest;mutual-info;30;0.936;0.045;0.858;0.06
cirrhosis;random-forest;mutual-info;40;0.944;0.035;0.871;0.059
cirrhosis;random-forest;mutual-info;50;0.951;0.03;0.866;0.072
cirrhosis;random-forest;mutual-info;60;0.954;0.034;0.866;0.054
cirrhosis;random-forest;mutual-info;70;0.952;0.034;0.871;0.053
cirrhosis;random-forest;mutual-info;80;0.952;0.037;0.853;0.057
cirrhosis;random-forest;mutual-info;90;0.953;0.042;0.875;0.067
cirrhosis;random-forest;mutual-info;100;0.956;0.039;0.871;0.059
cirrhosis;random-forest;mutual-info;110;0.958;0.044;0.871;0.066
cirrhosis;random-forest;mutual-info;120;0.958;0.046;0.875;0.064
cirrhosis;random-forest;mutual-info;130;0.959;0.035;0.88;0.052
cirrhosis;random-forest;mutual-info;140;0.958;0.037;0.866;0.061
cirrhosis;random-forest;mutual-info;150;0.954;0.041;0.88;0.059
cirrhosis;random-forest;mutual-info;160;0.954;0.038;0.867;0.054
cirrhosis;random-forest;mutual-info;170;0.954;0.041;0.871;0.066
cirrhosis;random-forest;mutual-info;180;0.954;0.039;0.862;0.059
cirrhosis;random-forest;mutual-info;190;0.951;0.049;0.871;0.053
cirrhosis;random-forest;mutual-info;200;0.953;0.037;0.871;0.056
cirrhosis;random-forest;chi2;10;0.908;0.074;0.867;0.069
cirrhosis;random-forest;chi2;20;0.932;0.061;0.862;0.059
cirrhosis;random-forest;chi2;30;0.946;0.046;0.871;0.063
cirrhosis;random-forest;chi2;40;0.935;0.055;0.871;0.059
cirrhosis;random-forest;chi2;50;0.942;0.051;0.854;0.064
cirrhosis;random-forest;chi2;60;0.95;0.044;0.858;0.057
cirrhosis;random-forest;chi2;70;0.948;0.046;0.871;0.056
cirrhosis;random-forest;chi2;80;0.947;0.048;0.867;0.067
